,Z1,Z2,Z3,Z4
Bulgaria,-0.040264391798852626,-0.11275586543039978,0.20077709842389252,-0.7725117816157492
Czech Republic,0.21357929499474176,-0.2011155732439757,0.1950909210001051,-0.350858970490541
Denmark,0.44036553770508624,0.5798557992241763,-0.44460980533908295,-1.4041388018669507
Germany,0.6825402570999093,1.0866593292814464,-1.7115282085008585,0.9472203953181005
Estonia,-0.01617309457078479,-0.21738429525988345,0.017155479272383967,-0.939475974815003
Ireland,-0.9993244411504995,-0.32157023312770744,-0.9377542609228097,-0.3382772227720732
Greece,-0.6575625485446418,0.47609586711940316,0.2158567639309355,-1.375437964754996
Spain,0.10701616252903161,1.7908138367289541,0.3465687594375733,0.5434396340642041
France,-0.22816922454380797,-0.5476414629167752,-0.30108991289389525,4.799952522678897
Croatia,0.004156690098861863,-0.18181552484334518,0.06235159648501155,-0.7398631597040368
Italy,-0.23771952751964545,-0.6047580552174672,-0.6568643496048725,2.7888749977239224
Cyprus,-0.025720791932046443,-0.1596115263652694,0.06719414525458615,-0.9674247886166174
Latvia,-0.014843204519428685,-0.22931382989871155,0.017047847324704258,-0.8981874566189446
Lithuania,0.012226682659345608,-0.2533229105789894,0.027259169140943725,-0.7217566507977187
Luxembourg,-0.02648447960103125,-0.22475371270092293,0.012821303764279625,-0.9666862292395982
Hungary,0.4929227244884159,-0.16243781540723853,0.5578579216617833,0.04515283947002298
Malta,-0.01895127545309682,-0.21344121903941837,0.03783027920859352,-0.970437302081409
Netherlands,0.5376302056648807,-0.14637348857731833,0.3004353973340344,1.1255971173739525
Austria,-0.03203436147324576,-0.19894629873635786,-0.343450784050177,-0.61646573956204
Poland,1.361653533276079,-0.0027970378093805565,0.9299232209181486,2.1634634860668016
Portugal,0.17941344146222665,-0.15676671576012488,0.2799631312489606,-0.24869330691940275
Romania,-0.3189700277421936,0.18466939219820372,0.07477705276090209,-0.5479885201686342
Slovenia,0.014508179694552256,-0.2695859969024225,0.06875932854436764,-0.7350392751458711
Slovakia,0.07208515686043136,-0.21613916840369657,0.12066312254458601,-0.731254819038484
Finland,0.031839171296890435,-0.23775175365425646,-0.019066842666332795,-0.6515864779423609
Sweden,-0.018644542659837532,-0.23771868570866983,-0.09145949590492258,-0.5909346575596826
United Kingdom,-1.5150751263213402,0.7779069450301475,0.9734911216271593,2.1533181070142136
